Nome,Nota,Situacao,Media
Alan,6,0,Prova Final,Abaixo
Andre,0,0,Prova Final,Abaixo
Bruno,6,9,Prova Final,Acima
Denis,8,5,Aprovado,Acima
Fabio,5,3,Prova Final,Abaixo
Felipe,8,2,Aprovado,Acima
Felix,7,7,Aprovado,Acima
Fernando,6,4,Prova Final,Abaixo
Filipe,8,6,Aprovado,Acima
Gabriel,0,5,Prova Final,Abaixo
Gabriela,2,7,Prova Final,Abaixo
Gilber,8,0,Aprovado,Acima
Gilmar,6,5,Prova Final,Abaixo
Giovana,7,6,Aprovado,Acima
Guilherme,6,9,Prova Final,Acima
Gustavo,9,8,Aprovado,Acima
Igor,7,4,Aprovado,Acima
Jorge,1,5,Prova Final,Abaixo
Leticia,9,2,Aprovado,Acima
Lucas,9,5,Aprovado,Acima
Luiz,7,6,Aprovado,Acima
Matheus,7,8,Aprovado,Acima
Maria,9,0,Aprovado,Acima
Otavio,9,2,Aprovado,Acima
Pedro,9,8,Aprovado,Acima
Vitor,0,0,Prova Final,Abaixo
